test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize
0.6405821846255495,0.6441025641025641,0.7243999730703201,0.6764585883312934,2,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False
0.6943785752514404,0.6964102564102564,0.7804642003568183,0.7707058343533252,4,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False
0.7425608528254937,0.7425641025641025,0.8371511764903894,0.8457772337821298,8,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False
0.8051269751565139,0.8051282051282052,0.8809876460093582,0.8898408812729497,16,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False
0.8215373351433337,0.8215384615384616,0.8938381526239607,0.9216646266829867,32,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False
0.8338094405594406,0.8338461538461538,0.90191705658599,0.9314565483476132,64,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False
0.8348057592297641,0.8348717948717949,0.902072743797758,0.9298245614035088,128,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False
0.861519232408077,0.8615384615384616,0.9240961726192478,0.9388004895960832,256,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False
0.8686707003095713,0.8687179487179487,0.9334374053253442,0.9330885352917178,512,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False
0.6715476509781123,0.6759748427672956,0.6902798269232913,0.6402561024409764,1,36_sciq_tf,24,layer_24/width_16k/topk_32,l1,False
0.5431432329386348,0.5929559748427673,0.7454224592648999,0.7274909963985594,2,36_sciq_tf,24,layer_24/width_16k/topk_32,l1,False
0.6465570190758189,0.6515723270440251,0.7384234951733553,0.7460984393757503,4,36_sciq_tf,24,layer_24/width_16k/topk_32,l1,False
0.6625083031344668,0.6654088050314465,0.7440011229936234,0.7951180472188876,8,36_sciq_tf,24,layer_24/width_16k/topk_32,l1,False
0.6761803192535178,0.6777358490566038,0.759512915439289,0.7919167667066827,16,36_sciq_tf,24,layer_24/width_16k/topk_32,l1,False
0.7416042791936922,0.7416352201257862,0.8180727545950084,0.8211284513805523,32,36_sciq_tf,24,layer_24/width_16k/topk_32,l1,False
0.7486771457051881,0.7486792452830189,0.8224918205762,0.8399359743897559,64,36_sciq_tf,24,layer_24/width_16k/topk_32,l1,False
0.7355643475410718,0.7355974842767296,0.8033082744073905,0.827531012404962,128,36_sciq_tf,24,layer_24/width_16k/topk_32,l1,False
0.7524499787782576,0.7524528301886793,0.823824932483679,0.8463385354141657,256,36_sciq_tf,24,layer_24/width_16k/topk_32,l1,False
0.7360675552526967,0.7361006289308176,0.7929499493184573,0.8251300520208085,512,36_sciq_tf,24,layer_24/width_16k/topk_32,l1,False
0.6845688951070016,0.685676741130092,0.7339290223582997,0.6718,1,52_virtue_is,16,layer_16/width_16k/jumprelu_32,l1,False
0.7075532314408957,0.7082785808147175,0.7744164535160325,0.6791999999999999,2,52_virtue_is,16,layer_16/width_16k/jumprelu_32,l1,False
0.7471527651909918,0.7471747700394218,0.808742546634817,0.7484,4,52_virtue_is,16,layer_16/width_16k/jumprelu_32,l1,False
0.7439380406900115,0.7440210249671485,0.8125136413643187,0.774,8,52_virtue_is,16,layer_16/width_16k/jumprelu_32,l1,False
0.733254439034324,0.7337713534822602,0.8022249445090021,0.7416,16,52_virtue_is,16,layer_16/width_16k/jumprelu_32,l1,False
0.712653480774256,0.7161629434954008,0.8133673490249775,0.7888000000000001,32,52_virtue_is,16,layer_16/width_16k/jumprelu_32,l1,False
0.763255882894781,0.7642575558475689,0.8571059144535192,0.8388000000000001,64,52_virtue_is,16,layer_16/width_16k/jumprelu_32,l1,False
0.8375821063414544,0.8375821287779238,0.9137164021830604,0.9348,128,52_virtue_is,16,layer_16/width_16k/jumprelu_32,l1,False
0.8657030037871858,0.8657030223390276,0.9346109662478803,0.9468,256,52_virtue_is,16,layer_16/width_16k/jumprelu_32,l1,False
0.8946051307452925,0.8946123521681998,0.9543592412887283,0.9592,512,52_virtue_is,16,layer_16/width_16k/jumprelu_32,l1,False
0.9181607119416919,0.9181609195402299,0.9794665566318523,0.9784902597402598,1,67_social-security,7,layer_7/width_16k/standard_new,l1,False
0.9379308770341963,0.9379310344827586,0.9878468464202608,0.9866071428571428,2,67_social-security,7,layer_7/width_16k/standard_new,l1,False
0.9678159558871053,0.967816091954023,0.9951329887980952,0.9971590909090909,4,67_social-security,7,layer_7/width_16k/standard_new,l1,False
0.9811493455911703,0.9811494252873563,0.9985524108447428,1.0,8,67_social-security,7,layer_7/width_16k/standard_new,l1,False
