test_f1,test_acc,test_auc,val_auc,k,dataset,layer,sae_id,reg_type,binarize,num_train
0.7870341497761908,0.7879746835443038,0.8736291370684898,0.9336419753086419,128,62_wikidata_occupation_ispolitician,24,layer_24/width_16k/gated,l1,False,103
0.5803750442055137,0.5807860262008734,0.5962055617629661,1.0,16,52_virtue_is,24,layer_24/width_16k/gated,l1,False,20
0.5975609090422721,0.6080266167602412,0.6571199767539202,1.0,128,52_virtue_is,24,layer_24/width_16k/gated,l1,False,20
0.5932784077004649,0.5938628158844765,0.6217091973048,0.9166666666666666,16,42_temp_sense,24,layer_24/width_16k/standard,l1,False,7
0.5592826467996053,0.5649819494584838,0.5981620378214234,1.0,128,42_temp_sense,24,layer_24/width_16k/standard,l1,False,7
0.8622426031614353,0.8639823717948718,0.9696169319629355,1.0,16,49_cm_isshort,24,layer_24/width_16k/standard_new,l1,False,7
0.9043900238638648,0.9052483974358975,0.9962372488288955,1.0,128,49_cm_isshort,24,layer_24/width_16k/standard_new,l1,False,7
0.744211423378208,0.7540160642570282,0.7523628651150788,0.7083333333333334,16,60_wikidata_occupation_isathlete,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,7
0.3333333333333333,0.5,0.5,0.5,128,60_wikidata_occupation_isathlete,24,layer_24/width_16k/matryoshka_batch_topk_32,l1,False,7
0.7562358352982685,0.7563805104408353,0.8393029214959006,0.8783068783068784,16,59_wikidata_occupation_isjournalist,24,layer_24/width_16k/batch_topk_32,l1,False,275
0.7365986824065558,0.7372389791183295,0.8049846307890245,0.8558201058201059,128,59_wikidata_occupation_isjournalist,24,layer_24/width_16k/batch_topk_32,l1,False,275
0.4678020572577912,0.5568682418902683,0.7286557244744956,1.0,16,57_wikidatais_alive,24,layer_24/width_16k/standard,l1,False,5
0.4674171297355434,0.5600720865038046,0.7901098458719146,1.0,128,57_wikidatais_alive,24,layer_24/width_16k/standard,l1,False,5
0.47860962566844917,0.48717948717948717,0.4811505588428665,1.0,16,41_truthqa_tf,24,layer_24/width_16k/jumprelu_32,l1,False,5
0.46093016826835637,0.5128205128205128,0.6081788297172912,1.0,128,41_truthqa_tf,24,layer_24/width_16k/jumprelu_32,l1,False,5
0.3881681344356578,0.5118543607112617,0.6128367153942504,0.6501377410468319,16,48_cm_correct,24,layer_24/width_16k/jumprelu_32,l1,False,275
0.6366634763884806,0.6369602032176122,0.6939394993120686,0.7341597796143251,128,48_cm_correct,24,layer_24/width_16k/jumprelu_32,l1,False,275
0.6919896247660037,0.6992992992992993,0.8142087558713371,1.0,16,6_hist_fig_isamerican,24,layer_24/width_16k/p_anneal,l1,False,4
